timestamp,MpKrakBujaka-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-14 05:00:00,16.6123,19.078,28.5864,59.4089
2017-01-14 06:00:00,16.2463,23.8582,39.6981,79.5262
2017-01-14 07:00:00,20.4645,25.496,35.2592,74.1717
2017-01-14 08:00:00,19.078,29.4075,37.8153,53.9001
2017-01-14 09:00:00,23.8582,32.0733,59.4089,38.3449
2017-01-14 10:00:00,25.496,28.5864,79.5262,47.614
2017-01-14 11:00:00,29.4075,39.6981,74.1717,52.4791
2017-01-14 12:00:00,32.0733,35.2592,53.9001,48.2051
2017-01-14 13:00:00,28.5864,37.8153,38.3449,45.5783
2017-01-14 14:00:00,39.6981,59.4089,47.614,40.2366
2017-01-14 15:00:00,35.2592,79.5262,52.4791,37.8118
2017-01-14 16:00:00,37.8153,74.1717,48.2051,31.5123
2017-01-14 17:00:00,59.4089,53.9001,45.5783,25.3763
2017-01-14 18:00:00,79.5262,38.3449,40.2366,28.2321
2017-01-14 19:00:00,74.1717,47.614,37.8118,25.385
2017-01-14 20:00:00,53.9001,52.4791,31.5123,24.1533
2017-01-14 21:00:00,38.3449,48.2051,25.3763,23.1798
2017-01-14 22:00:00,47.614,45.5783,28.2321,24.4045
2017-01-14 23:00:00,52.4791,40.2366,25.385,22.9134
2017-01-15 00:00:00,48.2051,37.8118,24.1533,36.5329
2017-01-15 01:00:00,45.5783,31.5123,23.1798,30.8781
2017-01-15 02:00:00,40.2366,25.3763,24.4045,22.848000000000006
2017-01-15 03:00:00,37.8118,28.2321,22.9134,11.1281
2017-01-15 04:00:00,31.5123,25.385,36.5329,23.6112
2017-01-15 05:00:00,25.3763,24.1533,30.8781,45.9319
2017-01-15 06:00:00,28.2321,23.1798,22.848000000000006,57.2947
2017-01-15 07:00:00,25.385,24.4045,11.1281,62.7188
2017-01-15 08:00:00,24.1533,22.9134,23.6112,56.9859
2017-01-15 09:00:00,23.1798,36.5329,45.9319,59.3461
2017-01-15 10:00:00,24.4045,30.8781,57.2947,52.2857
2017-01-15 11:00:00,22.9134,22.848000000000006,62.7188,38.0063
2017-01-15 12:00:00,36.5329,11.1281,56.9859,34.7368
2017-01-15 13:00:00,30.8781,23.6112,59.3461,48.6313
2017-01-15 14:00:00,22.848000000000006,45.9319,52.2857,60.7401
2017-01-15 15:00:00,11.1281,57.2947,38.0063,51.0623
