timestamp,MpKrakAlKras-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-17 08:00:00,96.7489,55.952,65.0711,49.9893
2017-01-17 09:00:00,89.6072,69.4557,68.0174,45.0215
2017-01-17 10:00:00,76.583,121.956,61.1516,43.3452
2017-01-17 11:00:00,55.952,98.4277,52.0079,43.0026
2017-01-17 12:00:00,69.4557,68.0062,49.9893,48.5615
2017-01-17 13:00:00,121.956,65.0711,45.0215,47.9704
2017-01-17 14:00:00,98.4277,68.0174,43.3452,39.6572
2017-01-17 15:00:00,68.0062,61.1516,43.0026,40.1498
2017-01-17 16:00:00,65.0711,52.0079,48.5615,41.1251
2017-01-17 17:00:00,68.0174,49.9893,47.9704,42.1272
2017-01-17 18:00:00,61.1516,45.0215,39.6572,40.5903
2017-01-17 19:00:00,52.0079,43.3452,40.1498,37.9134
2017-01-17 20:00:00,49.9893,43.0026,41.1251,38.8014
2017-01-17 21:00:00,45.0215,48.5615,42.1272,39.7052
2017-01-17 22:00:00,43.3452,47.9704,40.5903,31.2112
2017-01-17 23:00:00,43.0026,39.6572,37.9134,35.39
2017-01-18 00:00:00,48.5615,40.1498,38.8014,29.9874
2017-01-18 01:00:00,47.9704,41.1251,39.7052,32.8994
2017-01-18 02:00:00,39.6572,42.1272,31.2112,38.4479
2017-01-18 03:00:00,40.1498,40.5903,35.39,43.6526
2017-01-18 04:00:00,41.1251,37.9134,29.9874,50.1641
2017-01-18 05:00:00,42.1272,38.8014,32.8994,48.2307
2017-01-18 06:00:00,40.5903,39.7052,38.4479,48.6547
2017-01-18 07:00:00,37.9134,31.2112,43.6526,46.8657
2017-01-18 08:00:00,38.8014,35.39,50.1641,38.5183
2017-01-18 09:00:00,39.7052,29.9874,48.2307,37.0691
2017-01-18 10:00:00,31.2112,32.8994,48.6547,41.7033
2017-01-18 11:00:00,35.39,38.4479,46.8657,37.0352
2017-01-18 12:00:00,29.9874,43.6526,38.5183,31.4048
2017-01-18 13:00:00,32.8994,50.1641,37.0691,35.5632
2017-01-18 14:00:00,38.4479,48.2307,41.7033,37.5511
2017-01-18 15:00:00,43.6526,48.6547,37.0352,37.6852
2017-01-18 16:00:00,50.1641,46.8657,31.4048,36.0336
2017-01-18 17:00:00,48.2307,38.5183,35.5632,37.8846
2017-01-18 18:00:00,48.6547,37.0691,37.5511,43.8259
2017-01-18 19:00:00,46.8657,41.7033,37.6852,49.6718
2017-01-18 20:00:00,38.5183,37.0352,36.0336,54.0543
2017-01-18 21:00:00,37.0691,31.4048,37.8846,56.9113
2017-01-18 22:00:00,41.7033,35.5632,43.8259,56.0512
2017-01-18 23:00:00,37.0352,37.5511,49.6718,62.6251
